,Time Horizon,Method,PICP,PINAW,PINAFD,CP,CWFDC
0,t+1,RUE Gaussian Copula,0.9264054514480409,0.023843613989024282,0.007557366615587172,0.0006048918184746727,0.6362927990792842
1,t+1,RUE Conditional Gaussian,0.8797274275979557,0.019175950496237455,0.006889018776443072,0.005079779576804634,5.105844546077314
2,t+1,RUE Weighted,0.8660988074957411,0.02071099081873599,0.006993456858105815,0.007208212488645223,7.235916936322065
3,t+1,RUE KNN,0.9877342419080068,0.061922041831566244,0.011722802561813635,0.0013494045285559698,1.4230493729493499
4,t+1,RUE Conformal,0.937649063032368,0.024153125845413483,0.0073196291523011355,0.000178247517913683,0.20972027291139764
5,t+1,Infer-Noise Conformal,0.8865417376490631,0.024219820352224322,0.00811103488145285,0.0041548675853022065,4.187198440535883
6,t+1,MC Dropout Conformal,0.9836456558773424,0.05710553953887704,0.009373774086501084,0.001065738847661865,1.132218161287243
7,t+1,GPR Conformal,0.8637137989778535,0.021611198734411773,0.0037074404599005814,0.007618880888878562,7.644199528072874
8,t+1,BNN Conformal,0.927427597955707,0.032614303401130425,0.005840568792273831,0.0005556581381377891,0.5941130103311933
9,t+1,DER Conformal,0.3151618398637138,0.00827397170165925,0.009067612134921786,0.40429016588549743,404.30750746933404
10,t+2,RUE Gaussian Copula,0.9288147138964578,0.033666536822416646,0.008639637437042914,0.0004921869194960227,0.5344930937554823
11,t+2,RUE Conditional Gaussian,0.8382152588555858,0.02445662333119481,0.007914776153933004,0.01272039783501251,12.752769234497638
12,t+2,RUE Weighted,0.8266348773841962,0.02591416234614743,0.00854603549003763,0.015466683723243911,15.501143921080097
13,t+2,RUE KNN,0.9802452316076294,0.07070492919728372,0.012185436153646239,0.0008552835717838907,0.9381739371348207
14,t+2,RUE Conformal,0.9134877384196185,0.03013722676106043,0.007824736141099707,0.0014071697688749626,1.4451317317771228
15,t+2,Infer-Noise Conformal,0.8419618528610354,0.02819256028903891,0.009433453855838584,0.01188931753149848,11.926943545643358
16,t+2,MC Dropout Conformal,0.9768392370572208,0.07110654331513014,0.00902496623750523,0.0006676661716992525,0.7477976812518878
17,t+2,GPR Conformal,0.8399182561307902,0.029419167154155847,0.005750033408598757,0.012339153821024722,12.374323021587475
18,t+2,BNN Conformal,0.9506130790190735,0.048521822926509445,0.007191311325144864,1.4970784548105415e-07,0.05586284209713536
19,t+2,DER Conformal,0.7987057220708447,0.02116539849015838,0.010588293809574607,0.023193547089962796,23.22530078226253
20,t+3,RUE Gaussian Copula,0.9390534559073885,0.0396901555105987,0.012496734318340785,0.00014271991575670885,0.19490680558564835
21,t+3,RUE Conditional Gaussian,0.8825331971399387,0.030649347020367732,0.010188368244202542,0.00468770309387849,4.72854080914306
22,t+3,RUE Weighted,0.8692543411644535,0.03103953410890967,0.010921284257913586,0.006682352738457547,6.72431355682437
23,t+3,RUE KNN,0.9843377596186585,0.09183694496292927,0.015441108815635523,0.0011114062163914635,1.2186842701700282
24,t+3,RUE Conformal,0.9247531494722506,0.036346608651921436,0.010398629661626064,0.0006888971626260155,0.7356424009395629
25,t+3,Infer-Noise Conformal,0.8576779026217228,0.031850362251922705,0.01206670520830579,0.008709013859080638,8.752930926540866
26,t+3,MC Dropout Conformal,0.9758256724548859,0.07459652588101445,0.012908400067916635,0.0006163140128372846,0.7038189387862157
27,t+3,GPR Conformal,0.7592781750085121,0.03265961130936518,0.0074635434620800665,0.03675725817806669,36.79738133283813
28,t+3,BNN Conformal,0.9455226421518557,0.05925929688566913,0.012263635963053736,3.000144899662788e-05,0.10152438184535074
29,t+3,DER Conformal,0.4310520939734423,0.010267619504246282,0.010226414889803104,0.2703458249814021,270.36631901579614
